date,cumDeaths28DaysByDeathDate
10/10/2022,167949
09/10/2022,167920
08/10/2022,167859
07/10/2022,167792
06/10/2022,167705
05/10/2022,167609
04/10/2022,167502
03/10/2022,167403
02/10/2022,167310
01/10/2022,167228
30/09/2022,167145
29/09/2022,167062
28/09/2022,166977
27/09/2022,166904
26/09/2022,166825
25/09/2022,166744
24/09/2022,166679
23/09/2022,166621
22/09/2022,166564
21/09/2022,166503
20/09/2022,166455
19/09/2022,166384
18/09/2022,166320
17/09/2022,166257
16/09/2022,166202
15/09/2022,166157
14/09/2022,166101
13/09/2022,166056
12/09/2022,165994
11/09/2022,165941
10/09/2022,165896
09/09/2022,165850
08/09/2022,165803
07/09/2022,165751
06/09/2022,165689
05/09/2022,165637
04/09/2022,165572
03/09/2022,165500
02/09/2022,165444
01/09/2022,165372
31/08/2022,165304
30/08/2022,165211
29/08/2022,165149
28/08/2022,165084
27/08/2022,165006
26/08/2022,164931
25/08/2022,164860
24/08/2022,164791
23/08/2022,164724
22/08/2022,164645
21/08/2022,164558
20/08/2022,164466
19/08/2022,164370
18/08/2022,164294
17/08/2022,164206
16/08/2022,164124
15/08/2022,164019
14/08/2022,163892
13/08/2022,163786
12/08/2022,163656
11/08/2022,163522
10/08/2022,163377
09/08/2022,163261
08/08/2022,163138
07/08/2022,163010
06/08/2022,162882
05/08/2022,162766
04/08/2022,162644
03/08/2022,162524
02/08/2022,162370
01/08/2022,162220
31/07/2022,162069
30/07/2022,161927
29/07/2022,161798
28/07/2022,161626
27/07/2022,161454
26/07/2022,161309
25/07/2022,161167
24/07/2022,161019
23/07/2022,160841
22/07/2022,160684
21/07/2022,160536
20/07/2022,160386
19/07/2022,160177
18/07/2022,159874
17/07/2022,159714
16/07/2022,159521
15/07/2022,159362
14/07/2022,159220
13/07/2022,159078
12/07/2022,158919
11/07/2022,158756
10/07/2022,158608
09/07/2022,158458
08/07/2022,158313
07/07/2022,158180
06/07/2022,158061
05/07/2022,157930
04/07/2022,157816
03/07/2022,157699
02/07/2022,157602
01/07/2022,157496
30/06/2022,157404
29/06/2022,157320
28/06/2022,157235
27/06/2022,157167
26/06/2022,157094
25/06/2022,157028
24/06/2022,156957
23/06/2022,156902
22/06/2022,156830
21/06/2022,156765
20/06/2022,156709
19/06/2022,156649
18/06/2022,156591
17/06/2022,156540
16/06/2022,156488
15/06/2022,156430
14/06/2022,156384
13/06/2022,156347
12/06/2022,156310
11/06/2022,156279
10/06/2022,156236
09/06/2022,156183
08/06/2022,156147
07/06/2022,156106
06/06/2022,156066
05/06/2022,156015
04/06/2022,155970
03/06/2022,155922
02/06/2022,155887
01/06/2022,155841
31/05/2022,155801
30/05/2022,155745
29/05/2022,155686
28/05/2022,155650
27/05/2022,155596
26/05/2022,155542
25/05/2022,155479
24/05/2022,155435
23/05/2022,155390
22/05/2022,155330
21/05/2022,155268
20/05/2022,155205
19/05/2022,155138
18/05/2022,155080
17/05/2022,155023
16/05/2022,154939
15/05/2022,154871
14/05/2022,154787
13/05/2022,154704
12/05/2022,154614
11/05/2022,154513
10/05/2022,154421
09/05/2022,154314
08/05/2022,154209
07/05/2022,154103
06/05/2022,153985
05/05/2022,153861
04/05/2022,153743
03/05/2022,153618
02/05/2022,153495
01/05/2022,153355
30/04/2022,153197
29/04/2022,153031
28/04/2022,152876
27/04/2022,152706
26/04/2022,152542
25/04/2022,152388
24/04/2022,152220
23/04/2022,152059
22/04/2022,151880
21/04/2022,151689
20/04/2022,151507
19/04/2022,151298
18/04/2022,151120
17/04/2022,150894
16/04/2022,150669
15/04/2022,150440
14/04/2022,150224
13/04/2022,149985
12/04/2022,149722
11/04/2022,149469
10/04/2022,149231
09/04/2022,148986
08/04/2022,148745
07/04/2022,148478
06/04/2022,148232
05/04/2022,147987
04/04/2022,147762
03/04/2022,147551
02/04/2022,147320
01/04/2022,147066
31/03/2022,146850
30/03/2022,146628
29/03/2022,146416
28/03/2022,146212
27/03/2022,146024
26/03/2022,145838
25/03/2022,145652
24/03/2022,145472
23/03/2022,145297
22/03/2022,145132
21/03/2022,144947
20/03/2022,144802
19/03/2022,144647
18/03/2022,144498
17/03/2022,144336
16/03/2022,144177
15/03/2022,144032
14/03/2022,143900
13/03/2022,143745
12/03/2022,143619
11/03/2022,143493
10/03/2022,143374
09/03/2022,143246
08/03/2022,143123
07/03/2022,142995
06/03/2022,142878
05/03/2022,142772
04/03/2022,142665
03/03/2022,142557
02/03/2022,142417
01/03/2022,142289
28/02/2022,142178
27/02/2022,142059
26/02/2022,141952
25/02/2022,141836
24/02/2022,141714
23/02/2022,141577
22/02/2022,141456
21/02/2022,141336
20/02/2022,141212
19/02/2022,141067
18/02/2022,140930
17/02/2022,140799
16/02/2022,140655
15/02/2022,140505
14/02/2022,140356
13/02/2022,140187
12/02/2022,140031
11/02/2022,139882
10/02/2022,139733
09/02/2022,139568
08/02/2022,139408
07/02/2022,139242
06/02/2022,139085
05/02/2022,138892
04/02/2022,138697
03/02/2022,138518
02/02/2022,138312
01/02/2022,138084
31/01/2022,137856
30/01/2022,137626
29/01/2022,137409
28/01/2022,137170
27/01/2022,136944
26/01/2022,136682
25/01/2022,136443
24/01/2022,136229
23/01/2022,135978
22/01/2022,135754
21/01/2022,135495
20/01/2022,135225
19/01/2022,134997
18/01/2022,134754
17/01/2022,134499
16/01/2022,134239
15/01/2022,133988
14/01/2022,133731
13/01/2022,133478
12/01/2022,133243
11/01/2022,133016
10/01/2022,132768
09/01/2022,132520
08/01/2022,132285
07/01/2022,132063
06/01/2022,131833
05/01/2022,131609
04/01/2022,131413
03/01/2022,131232
02/01/2022,131072
01/01/2022,130917
31/12/2021,130753
30/12/2021,130604
29/12/2021,130427
28/12/2021,130323
27/12/2021,130178
26/12/2021,130050
25/12/2021,129942
24/12/2021,129847
23/12/2021,129733
22/12/2021,129610
21/12/2021,129495
20/12/2021,129406
19/12/2021,129305
18/12/2021,129213
17/12/2021,129121
16/12/2021,129007
15/12/2021,128916
14/12/2021,128821
13/12/2021,128711
12/12/2021,128619
11/12/2021,128513
10/12/2021,128434
09/12/2021,128339
08/12/2021,128236
07/12/2021,128138
06/12/2021,128043
05/12/2021,127932
04/12/2021,127840
03/12/2021,127721
02/12/2021,127607
01/12/2021,127522
30/11/2021,127418
29/11/2021,127330
28/11/2021,127223
27/11/2021,127130
26/11/2021,127042
25/11/2021,126935
24/11/2021,126825
23/11/2021,126727
22/11/2021,126606
21/11/2021,126512
20/11/2021,126422
19/11/2021,126322
18/11/2021,126218
17/11/2021,126105
16/11/2021,126006
15/11/2021,125876
14/11/2021,125739
13/11/2021,125633
12/11/2021,125523
11/11/2021,125404
10/11/2021,125281
09/11/2021,125162
08/11/2021,125036
07/11/2021,124909
06/11/2021,124774
05/11/2021,124634
04/11/2021,124506
03/11/2021,124386
02/11/2021,124257
01/11/2021,124129
31/10/2021,123992
30/10/2021,123837
29/10/2021,123704
28/10/2021,123574
27/10/2021,123420
26/10/2021,123286
25/10/2021,123154
24/10/2021,123039
23/10/2021,122920
22/10/2021,122788
21/10/2021,122683
20/10/2021,122570
19/10/2021,122450
18/10/2021,122346
17/10/2021,122251
16/10/2021,122147
15/10/2021,122050
14/10/2021,121942
13/10/2021,121832
12/10/2021,121743
11/10/2021,121656
10/10/2021,121561
09/10/2021,121491
08/10/2021,121399
07/10/2021,121303
06/10/2021,121210
05/10/2021,121133
04/10/2021,121046
03/10/2021,120964
02/10/2021,120890
01/10/2021,120815
30/09/2021,120717
29/09/2021,120636
28/09/2021,120550
27/09/2021,120470
26/09/2021,120390
25/09/2021,120322
24/09/2021,120230
23/09/2021,120137
22/09/2021,120032
21/09/2021,119926
20/09/2021,119832
19/09/2021,119726
18/09/2021,119636
17/09/2021,119542
16/09/2021,119415
15/09/2021,119302
14/09/2021,119198
13/09/2021,119079
12/09/2021,119007
11/09/2021,118900
10/09/2021,118795
09/09/2021,118685
08/09/2021,118553
07/09/2021,118437
06/09/2021,118311
05/09/2021,118190
04/09/2021,118072
03/09/2021,117960
02/09/2021,117834
01/09/2021,117733
31/08/2021,117635
30/08/2021,117540
29/08/2021,117449
28/08/2021,117343
27/08/2021,117238
26/08/2021,117131
25/08/2021,117026
24/08/2021,116938
23/08/2021,116834
22/08/2021,116736
21/08/2021,116632
20/08/2021,116541
19/08/2021,116440
18/08/2021,116346
17/08/2021,116265
16/08/2021,116168
15/08/2021,116092
14/08/2021,116018
13/08/2021,115936
12/08/2021,115846
11/08/2021,115753
10/08/2021,115672
09/08/2021,115603
08/08/2021,115531
07/08/2021,115464
06/08/2021,115379
05/08/2021,115298
04/08/2021,115208
03/08/2021,115137
02/08/2021,115071
01/08/2021,115003
31/07/2021,114928
30/07/2021,114850
29/07/2021,114754
28/07/2021,114684
27/07/2021,114612
26/07/2021,114553
25/07/2021,114486
24/07/2021,114421
23/07/2021,114355
22/07/2021,114281
21/07/2021,114215
20/07/2021,114170
19/07/2021,114121
18/07/2021,114051
17/07/2021,113994
16/07/2021,113950
15/07/2021,113909
14/07/2021,113865
13/07/2021,113832
12/07/2021,113794
11/07/2021,113760
10/07/2021,113733
09/07/2021,113700
08/07/2021,113661
07/07/2021,113631
06/07/2021,113608
05/07/2021,113589
04/07/2021,113565
03/07/2021,113542
02/07/2021,113518
01/07/2021,113492
30/06/2021,113470
29/06/2021,113449
28/06/2021,113428
27/06/2021,113418
26/06/2021,113399
25/06/2021,113390
24/06/2021,113369
23/06/2021,113349
22/06/2021,113343
21/06/2021,113334
20/06/2021,113321
19/06/2021,113299
18/06/2021,113280
17/06/2021,113270
16/06/2021,113265
15/06/2021,113253
14/06/2021,113238
13/06/2021,113228
12/06/2021,113220
11/06/2021,113206
10/06/2021,113200
09/06/2021,113189
08/06/2021,113183
07/06/2021,113174
06/06/2021,113169
05/06/2021,113162
04/06/2021,113156
03/06/2021,113145
02/06/2021,113135
01/06/2021,113123
31/05/2021,113120
30/05/2021,113112
29/05/2021,113104
28/05/2021,113097
27/05/2021,113091
26/05/2021,113083
25/05/2021,113071
24/05/2021,113065
23/05/2021,113057
22/05/2021,113049
21/05/2021,113046
20/05/2021,113037
19/05/2021,113031
18/05/2021,113028
17/05/2021,113025
16/05/2021,113018
15/05/2021,113011
14/05/2021,113003
13/05/2021,113000
12/05/2021,112994
11/05/2021,112984
10/05/2021,112970
09/05/2021,112960
08/05/2021,112952
07/05/2021,112942
06/05/2021,112932
05/05/2021,112925
04/05/2021,112912
03/05/2021,112903
02/05/2021,112894
01/05/2021,112882
30/04/2021,112874
29/04/2021,112862
28/04/2021,112849
27/04/2021,112834
26/04/2021,112821
25/04/2021,112810
24/04/2021,112798
23/04/2021,112791
22/04/2021,112772
21/04/2021,112757
20/04/2021,112740
19/04/2021,112723
18/04/2021,112707
17/04/2021,112691
16/04/2021,112670
15/04/2021,112653
14/04/2021,112635
13/04/2021,112625
12/04/2021,112605
11/04/2021,112578
10/04/2021,112557
09/04/2021,112538
08/04/2021,112517
07/04/2021,112486
06/04/2021,112462
05/04/2021,112439
04/04/2021,112427
03/04/2021,112402
02/04/2021,112375
01/04/2021,112352
31/03/2021,112323
30/03/2021,112286
29/03/2021,112248
28/03/2021,112220
27/03/2021,112193
26/03/2021,112161
25/03/2021,112120
24/03/2021,112082
23/03/2021,112046
22/03/2021,111998
21/03/2021,111938
20/03/2021,111867
19/03/2021,111808
18/03/2021,111752
17/03/2021,111700
16/03/2021,111633
15/03/2021,111564
14/03/2021,111475
13/03/2021,111392
12/03/2021,111294
11/03/2021,111210
10/03/2021,111100
09/03/2021,111001
08/03/2021,110883
07/03/2021,110761
06/03/2021,110646
05/03/2021,110517
04/03/2021,110361
03/03/2021,110231
02/03/2021,110105
01/03/2021,109947
28/02/2021,109755
27/02/2021,109554
26/02/2021,109357
25/02/2021,109160
24/02/2021,108938
23/02/2021,108697
22/02/2021,108439
21/02/2021,108197
20/02/2021,107910
19/02/2021,107606
18/02/2021,107290
17/02/2021,106921
16/02/2021,106535
15/02/2021,106138
14/02/2021,105676
13/02/2021,105236
12/02/2021,104801
11/02/2021,104341
10/02/2021,103828
09/02/2021,103283
08/02/2021,102741
07/02/2021,102127
06/02/2021,101558
05/02/2021,100945
04/02/2021,100265
03/02/2021,99611
02/02/2021,98825
01/02/2021,98061
31/01/2021,97249
30/01/2021,96437
29/01/2021,95604
28/01/2021,94657
27/01/2021,93636
26/01/2021,92622
25/01/2021,91653
24/01/2021,90576
23/01/2021,89534
22/01/2021,88464
21/01/2021,87337
20/01/2021,86198
19/01/2021,85019
18/01/2021,83764
17/01/2021,82591
16/01/2021,81417
15/01/2021,80242
14/01/2021,79137
13/01/2021,78043
12/01/2021,76938
11/01/2021,75844
10/01/2021,74836
09/01/2021,73852
08/01/2021,72921
07/01/2021,72029
06/01/2021,71138
05/01/2021,70309
04/01/2021,69486
03/01/2021,68727
02/01/2021,68071
01/01/2021,67399
31/12/2020,66754
30/12/2020,66101
29/12/2020,65472
28/12/2020,64892
27/12/2020,64298
26/12/2020,63713
25/12/2020,63141
24/12/2020,62600
23/12/2020,62110
22/12/2020,61627
21/12/2020,61136
20/12/2020,60638
19/12/2020,60208
18/12/2020,59793
17/12/2020,59357
16/12/2020,58916
15/12/2020,58562
14/12/2020,58171
13/12/2020,57756
12/12/2020,57388
11/12/2020,57010
10/12/2020,56610
09/12/2020,56230
08/12/2020,55854
07/12/2020,55478
06/12/2020,55118
05/12/2020,54761
04/12/2020,54416
03/12/2020,54002
02/12/2020,53594
01/12/2020,53257
30/11/2020,52910
29/11/2020,52545
28/11/2020,52141
27/11/2020,51754
26/11/2020,51385
25/11/2020,51011
24/11/2020,50582
23/11/2020,50172
22/11/2020,49771
21/11/2020,49361
20/11/2020,48960
19/11/2020,48566
18/11/2020,48165
17/11/2020,47725
16/11/2020,47357
15/11/2020,46997
14/11/2020,46612
13/11/2020,46247
12/11/2020,45887
11/11/2020,45534
10/11/2020,45221
09/11/2020,44901
08/11/2020,44496
07/11/2020,44151
06/11/2020,43815
05/11/2020,43481
04/11/2020,43177
03/11/2020,42899
02/11/2020,42606
01/11/2020,42315
31/10/2020,42027
30/10/2020,41744
29/10/2020,41462
28/10/2020,41212
27/10/2020,40974
26/10/2020,40754
25/10/2020,40528
24/10/2020,40321
23/10/2020,40150
22/10/2020,39961
21/10/2020,39774
20/10/2020,39583
19/10/2020,39409
18/10/2020,39250
17/10/2020,39129
16/10/2020,38967
15/10/2020,38845
14/10/2020,38721
13/10/2020,38619
12/10/2020,38532
11/10/2020,38435
10/10/2020,38331
09/10/2020,38240
08/10/2020,38172
07/10/2020,38094
06/10/2020,38013
05/10/2020,37951
04/10/2020,37892
03/10/2020,37838
02/10/2020,37783
01/10/2020,37718
30/09/2020,37662
29/09/2020,37614
28/09/2020,37571
27/09/2020,37524
26/09/2020,37480
25/09/2020,37444
24/09/2020,37414
23/09/2020,37381
22/09/2020,37329
21/09/2020,37294
20/09/2020,37270
19/09/2020,37242
18/09/2020,37223
17/09/2020,37202
16/09/2020,37177
15/09/2020,37154
14/09/2020,37139
13/09/2020,37122
12/09/2020,37107
11/09/2020,37089
10/09/2020,37079
09/09/2020,37067
08/09/2020,37057
07/09/2020,37047
06/09/2020,37034
05/09/2020,37025
04/09/2020,37013
03/09/2020,37005
02/09/2020,36999
01/09/2020,36989
31/08/2020,36985
30/08/2020,36977
29/08/2020,36971
28/08/2020,36966
27/08/2020,36957
26/08/2020,36948
25/08/2020,36937
24/08/2020,36925
23/08/2020,36920
22/08/2020,36905
21/08/2020,36898
20/08/2020,36891
19/08/2020,36883
18/08/2020,36880
17/08/2020,36873
16/08/2020,36861
15/08/2020,36857
14/08/2020,36845
13/08/2020,36839
12/08/2020,36832
11/08/2020,36825
10/08/2020,36815
09/08/2020,36804
08/08/2020,36795
07/08/2020,36784
06/08/2020,36776
05/08/2020,36767
04/08/2020,36764
03/08/2020,36754
02/08/2020,36739
01/08/2020,36731
31/07/2020,36722
30/07/2020,36712
29/07/2020,36704
28/07/2020,36696
27/07/2020,36686
26/07/2020,36674
25/07/2020,36659
24/07/2020,36645
23/07/2020,36639
22/07/2020,36623
21/07/2020,36606
20/07/2020,36586
19/07/2020,36574
18/07/2020,36560
17/07/2020,36545
16/07/2020,36527
15/07/2020,36515
14/07/2020,36495
13/07/2020,36475
12/07/2020,36451
11/07/2020,36438
10/07/2020,36418
09/07/2020,36395
08/07/2020,36360
07/07/2020,36337
06/07/2020,36311
05/07/2020,36276
04/07/2020,36251
03/07/2020,36220
02/07/2020,36193
01/07/2020,36153
30/06/2020,36132
29/06/2020,36089
28/06/2020,36055
27/06/2020,36013
26/06/2020,35972
25/06/2020,35934
24/06/2020,35876
23/06/2020,35809
22/06/2020,35747
21/06/2020,35689
20/06/2020,35642
19/06/2020,35588
18/06/2020,35541
17/06/2020,35484
16/06/2020,35430
15/06/2020,35360
14/06/2020,35298
13/06/2020,35222
12/06/2020,35170
11/06/2020,35097
10/06/2020,35025
09/06/2020,34927
08/06/2020,34842
07/06/2020,34730
06/06/2020,34617
05/06/2020,34518
04/06/2020,34409
03/06/2020,34288
02/06/2020,34150
01/06/2020,33995
31/05/2020,33874
30/05/2020,33761
29/05/2020,33616
28/05/2020,33453
27/05/2020,33271
26/05/2020,33099
25/05/2020,32910
24/05/2020,32735
23/05/2020,32565
22/05/2020,32365
21/05/2020,32170
20/05/2020,31968
19/05/2020,31732
18/05/2020,31501
17/05/2020,31248
16/05/2020,31026
15/05/2020,30758
14/05/2020,30489
13/05/2020,30212
12/05/2020,29956
11/05/2020,29681
10/05/2020,29421
09/05/2020,29121
08/05/2020,28790
07/05/2020,28459
06/05/2020,28060
05/05/2020,27669
04/05/2020,27277
03/05/2020,26865
02/05/2020,26477
01/05/2020,26053
30/04/2020,25574
29/04/2020,25090
28/04/2020,24595
27/04/2020,24097
26/04/2020,23591
25/04/2020,23031
24/04/2020,22477
23/04/2020,21875
22/04/2020,21280
21/04/2020,20637
20/04/2020,19986
19/04/2020,19301
18/04/2020,18613
17/04/2020,17907
16/04/2020,17164
15/04/2020,16411
14/04/2020,15629
13/04/2020,14859
12/04/2020,14054
11/04/2020,13198
10/04/2020,12334
09/04/2020,11484
08/04/2020,10609
07/04/2020,9632
06/04/2020,8723
05/04/2020,7917
04/04/2020,7088
03/04/2020,6250
02/04/2020,5507
01/04/2020,4776
31/03/2020,4078
30/03/2020,3474
29/03/2020,2934
28/03/2020,2469
27/03/2020,2085
26/03/2020,1711
25/03/2020,1373
24/03/2020,1095
23/03/2020,876
22/03/2020,703
21/03/2020,550
20/03/2020,434
19/03/2020,332
18/03/2020,266
17/03/2020,199
16/03/2020,148
15/03/2020,105
14/03/2020,73
13/03/2020,53
12/03/2020,37
11/03/2020,25
10/03/2020,17
09/03/2020,14
08/03/2020,9
07/03/2020,6
06/03/2020,6
05/03/2020,6
04/03/2020,3
03/03/2020,3
02/03/2020,1