,Autonomous community,level_1,0,Autonomous community_right,level_1_right,0_right
0,Andalucia,2021,25601,Andalucia,2021,27
1,Andalucia,2020,25909,Andalucia,2020,26
2,Andalucia,2019,23826,Andalucia,2019,25
3,Andalucia,2018,24091,Andalucia,2018,24
4,Andalucia,2017,23699,Andalucia,2017,23
5,Andalucia,2016,21966,Andalucia,2016,23
6,Andalucia,2015,20851,Andalucia,2015,22
7,Andalucia,2014,21332,Andalucia,2014,22
8,Aragon,2021,32067,Aragon,2021,31
9,Aragon,2020,31529,Aragon,2020,30
10,Aragon,2019,29672,Aragon,2019,30
11,Aragon,2018,28886,Aragon,2018,29
12,Aragon,2017,29098,Aragon,2017,28
13,Aragon,2016,28019,Aragon,2016,28
14,Aragon,2015,30058,Aragon,2015,27
15,Aragon,2014,29120,Aragon,2014,27
16,Asturias,2021,28369,Asturias,2021,33
17,Asturias,2020,28284,Asturias,2020,33
18,Asturias,2019,27897,Asturias,2019,32
19,Asturias,2018,27069,Asturias,2018,32
20,Asturias,2017,27454,Asturias,2017,32
21,Asturias,2016,27020,Asturias,2016,31
22,Asturias,2015,25909,Asturias,2015,30
23,Asturias,2014,25623,Asturias,2014,29
24,Baleares,2021,29368,Baleares,2021,31
25,Baleares,2020,33115,Baleares,2020,30
26,Baleares,2019,32179,Baleares,2019,27
27,Baleares,2018,34007,Baleares,2018,26
28,Baleares,2017,32163,Baleares,2017,26
29,Baleares,2016,30859,Baleares,2016,25
30,Baleares,2015,27284,Baleares,2015,23
31,Baleares,2014,26923,Baleares,2014,23
32,Canarias,2021,26392,Canarias,2021,31
33,Canarias,2020,25855,Canarias,2020,30
34,Canarias,2019,24565,Canarias,2019,28
35,Canarias,2018,23048,Canarias,2018,26
36,Canarias,2017,22790,Canarias,2017,25
37,Canarias,2016,22450,Canarias,2016,24
38,Canarias,2015,22261,Canarias,2015,22
39,Canarias,2014,21539,Canarias,2014,22
40,Cantabria,2021,30447,Cantabria,2021,34
41,Cantabria,2020,30309,Cantabria,2020,33
42,Cantabria,2019,29144,Cantabria,2019,32
43,Cantabria,2018,26888,Cantabria,2018,31
44,Cantabria,2017,27024,Cantabria,2017,31
45,Cantabria,2016,25787,Cantabria,2016,31
46,Cantabria,2015,25282,Cantabria,2015,30
47,Cantabria,2014,23905,Cantabria,2014,29
48,Castilla-Leon,2021,28890,Castilla-Leon,2021,29
49,Castilla-Leon,2020,29125,Castilla-Leon,2020,28
50,Castilla-Leon,2019,27679,Castilla-Leon,2019,28
51,Castilla-Leon,2018,27665,Castilla-Leon,2018,27
52,Castilla-Leon,2017,26113,Castilla-Leon,2017,26
53,Castilla-Leon,2016,25255,Castilla-Leon,2016,25
54,Castilla-Leon,2015,24838,Castilla-Leon,2015,25
55,Castilla-Leon,2014,24587,Castilla-Leon,2014,25
56,Castilla-La Mancha,2021,26060,Castilla-La Mancha,2021,24
57,Castilla-La Mancha,2020,26722,Castilla-La Mancha,2020,24
58,Castilla-La Mancha,2019,24853,Castilla-La Mancha,2019,23
59,Castilla-La Mancha,2018,24401,Castilla-La Mancha,2018,21
60,Castilla-La Mancha,2017,23159,Castilla-La Mancha,2017,21
61,Castilla-La Mancha,2016,22473,Castilla-La Mancha,2016,21
62,Castilla-La Mancha,2015,21939,Castilla-La Mancha,2015,21
63,Castilla-La Mancha,2014,22271,Castilla-La Mancha,2014,20
64,Cataluña,2021,34982,Cataluña,2021,33
65,Cataluña,2020,35030,Cataluña,2020,32
66,Cataluña,2019,33321,Cataluña,2019,32
67,Cataluña,2018,32763,Cataluña,2018,31
68,Cataluña,2017,31411,Cataluña,2017,30
69,Cataluña,2016,31339,Cataluña,2016,29
70,Cataluña,2015,30655,Cataluña,2015,28
71,Cataluña,2014,30407,Cataluña,2014,28
72,Valencia,2021,27603,Valencia,2021,31
73,Valencia,2020,27948,Valencia,2020,30
74,Valencia,2019,26176,Valencia,2019,29
75,Valencia,2018,25207,Valencia,2018,27
76,Valencia,2017,24034,Valencia,2017,26
77,Valencia,2016,22744,Valencia,2016,26
78,Valencia,2015,22132,Valencia,2015,25
79,Valencia,2014,22392,Valencia,2014,25
80,Extremadura,2021,22947,Extremadura,2021,23
81,Extremadura,2020,22250,Extremadura,2020,21
82,Extremadura,2019,21611,Extremadura,2019,20
83,Extremadura,2018,21006,Extremadura,2018,20
84,Extremadura,2017,20395,Extremadura,2017,20
85,Extremadura,2016,21671,Extremadura,2016,19
86,Extremadura,2015,21092,Extremadura,2015,20
87,Extremadura,2014,19364,Extremadura,2014,20
88,Galicia,2021,27698,Galicia,2021,31
89,Galicia,2020,27862,Galicia,2020,29
90,Galicia,2019,27541,Galicia,2019,28
91,Galicia,2018,27658,Galicia,2018,27
92,Galicia,2017,26533,Galicia,2017,27
93,Galicia,2016,25980,Galicia,2016,26
94,Galicia,2015,25614,Galicia,2015,26
95,Galicia,2014,26001,Galicia,2014,24
96,Madrid,2021,37687,Madrid,2021,40
97,Madrid,2020,37051,Madrid,2020,40
98,Madrid,2019,35587,Madrid,2019,39
99,Madrid,2018,33055,Madrid,2018,38
100,Madrid,2017,32451,Madrid,2017,37
101,Madrid,2016,31370,Madrid,2016,37
102,Madrid,2015,31243,Madrid,2015,37
103,Madrid,2014,31587,Madrid,2014,37
104,Murcia,2021,27027,Murcia,2021,27
105,Murcia,2020,26925,Murcia,2020,26
106,Murcia,2019,24448,Murcia,2019,25
107,Murcia,2018,24801,Murcia,2018,25
108,Murcia,2017,23574,Murcia,2017,24
109,Murcia,2016,22425,Murcia,2016,23
110,Murcia,2015,21529,Murcia,2015,22
111,Murcia,2014,21269,Murcia,2014,21
112,Navarra,2021,38086,Navarra,2021,37
113,Navarra,2020,37728,Navarra,2020,37
114,Navarra,2019,34612,Navarra,2019,36
115,Navarra,2018,33556,Navarra,2018,34
116,Navarra,2017,33431,Navarra,2017,34
117,Navarra,2016,33167,Navarra,2016,34
118,Navarra,2015,32979,Navarra,2015,32
119,Navarra,2014,33047,Navarra,2014,32
120,Pais Vasco,2021,36887,Pais Vasco,2021,42
121,Pais Vasco,2020,37598,Pais Vasco,2020,40
122,Pais Vasco,2019,36399,Pais Vasco,2019,38
123,Pais Vasco,2018,35049,Pais Vasco,2018,37
124,Pais Vasco,2017,34203,Pais Vasco,2017,37
125,Pais Vasco,2016,34054,Pais Vasco,2016,36
126,Pais Vasco,2015,33053,Pais Vasco,2015,35
127,Pais Vasco,2014,34240,Pais Vasco,2014,35
128,La Rioja,2021,30598,La Rioja,2021,31
129,La Rioja,2020,32096,La Rioja,2020,30
130,La Rioja,2019,30162,La Rioja,2019,30
131,La Rioja,2018,28549,La Rioja,2018,28
132,La Rioja,2017,28775,La Rioja,2017,28
133,La Rioja,2016,27599,La Rioja,2016,28
134,La Rioja,2015,26604,La Rioja,2015,30
135,La Rioja,2014,26666,La Rioja,2014,28
136,Ceuta,2021,31494,Ceuta,2021,23
137,Ceuta,2020,28824,Ceuta,2020,21
138,Ceuta,2019,30432,Ceuta,2019,19
139,Ceuta,2018,28700,Ceuta,2018,21
140,Ceuta,2017,29117,Ceuta,2017,21
141,Ceuta,2016,30180,Ceuta,2016,23
142,Ceuta,2015,28280,Ceuta,2015,23
143,Ceuta,2014,30336,Ceuta,2014,18
144,Melilla,2021,36038,Melilla,2021,32
145,Melilla,2020,37138,Melilla,2020,27
146,Melilla,2019,37552,Melilla,2019,24
147,Melilla,2018,41714,Melilla,2018,24
148,Melilla,2017,34089,Melilla,2017,23
149,Melilla,2016,35808,Melilla,2016,22
150,Melilla,2015,31526,Melilla,2015,21
151,Melilla,2014,35741,Melilla,2014,22
