education,income
0.027,25601
0.026,25909
0.025,23826
0.024,24091
0.023,23699
0.023,21966
0.022,20851
0.022,21332
0.031,32067
0.03,31529
0.03,29672
0.029,28886
0.028,29098
0.028,28019
0.027,30058
0.027,29120
0.033,28369
0.033,28284
0.032,27897
0.032,27069
0.032,27454
0.031,27020
0.03,25909
0.029,25623
0.031,29368
0.03,33115
0.027,32179
0.026,34007
0.026,32163
0.025,30859
0.023,27284
0.023,26923
0.031,26392
0.03,25855
0.028,24565
0.026,23048
0.025,22790
0.024,22450
0.022,22261
0.022,21539
0.034,30447
0.033,30309
0.032,29144
0.031,26888
0.031,27024
0.031,25787
0.03,25282
0.029,23905
0.029,28890
0.028,29125
0.028,27679
0.027,27665
0.026,26113
0.025,25255
0.025,24838
0.025,24587
0.024,26060
0.024,26722
0.023,24853
0.021,24401
0.021,23159
0.021,22473
0.021,21939
0.02,22271
0.033,34982
0.032,35030
0.032,33321
0.031,32763
0.03,31411
0.029,31339
0.028,30655
0.028,30407
0.031,27603
0.03,27948
0.029,26176
0.027,25207
0.026,24034
0.026,22744
0.025,22132
0.025,22392
0.023,22947
0.021,22250
0.02,21611
0.02,21006
0.02,20395
0.019,21671
0.02,21092
0.02,19364
0.031,27698
0.029,27862
0.028,27541
0.027,27658
0.027,26533
0.026,25980
0.026,25614
0.024,26001
0.04,37687
0.04,37051
0.039,35587
0.038,33055
0.037,32451
0.037,31370
0.037,31243
0.037,31587
0.027,27027
0.026,26925
0.025,24448
0.025,24801
0.024,23574
0.023,22425
0.022,21529
0.021,21269
0.037,38086
0.037,37728
0.036,34612
0.034,33556
0.034,33431
0.034,33167
0.032,32979
0.032,33047
0.042,36887
0.04,37598
0.038,36399
0.037,35049
0.037,34203
0.036,34054
0.031,30598
0.03,32096
0.03,30162
0.028,28549
0.028,28775
0.028,27599
0.03,26604
0.028,26666
0.023,31494
0.021,28824
0.019,30432
0.021,28700
0.021,29117
0.023,30180
0.023,28280
0.018,30336
0.032,36038
0.027,37138
0.024,37552
0.024,41714
0.023,34089
0.022,35808
0.021,31526
0.022,35741