 ,2022Q3,2022Q2,2021Q4,2021Q3,2021Q2,2020Q4,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1
Andalucia,29,28,28,28,27,27,26,26,25,25,25,25,24,24,25,24,24,24,24,23,23,23,24,23,23,23,22,23,22,22,22,21,22
Aragon,34,32,32,32,32,30,31,32,31,31,31,30,30,30,30,29,28,28,28,28,28,29,29,28,28,28,28,28,27,28,28,27,27
Asturias,33,33,35,34,33,34,34,34,33,33,33,32,32,32,33,32,32,33,32,32,31,31,32,31,31,31,31,30,30,30,30,30,29
Baleares,28,28,30,30,30,30,29,29,28,27,27,26,26,25,25,24,24,25,25,25,26,25,25,23,23,23,23,23,22,22,23,23,23
Canarias,31,30,31,30,29,30,29,28,28,28,28,27,27,26,26,25,25,25,25,25,24,24,25,25,24,23,23,21,21,22,22,22,22
Cantabria,36,35,34,34,34,34,35,33,32,33,33,32,32,32,33,31,31,31,32,31,32,31,31,31,31,31,30,30,30,30,30,30,30
Castilla-Leon,31,31,30,31,30,30,29,29,29,29,29,29,28,28,27,27,27,27,27,26,26,26,26,25,26,26,26,26,26,26,26,26,25
Castilla-La Mancha,26,25,25,25,25,24,25,24,23,24,23,23,23,23,22,21,21,21,21,21,21,22,21,21,21,21,21,21,21,21,21,21,21
Cataluña,36,34,34,34,33,34,33,33,32,33,33,32,33,33,32,32,31,31,31,31,31,30,30,30,30,30,30,29,29,29,29,28,28
Valencia,31,30,30,31,31,30,30,30,30,29,29,29,29,29,28,27,27,27,27,25,26,26,27,26,26,26,26,26,26,26,26,25,25
Extremadura,25,24,23,23,23,21,21,21,20,21,21,21,20,21,21,20,20,20,21,20,20,20,19,19,19,20,21,20,21,20,21,20,20
Galicia,32,32,31,31,31,30,30,30,29,29,28,28,27,27,27,27,27,27,27,27,27,27,27,26,26,27,26,26,26,25,25,25,25
Madrid,42,42,41,41,41,40,41,41,40,40,40,40,39,38,39,38,38,38,38,38,38,38,38,37,38,38,38,38,38,39,39,38,39
Murcia,26,25,27,28,27,28,27,26,26,26,26,25,25,26,25,25,25,25,25,23,23,23,23,23,22,23,23,22,22,22,22,22,21
Navarra,38,38,37,38,38,39,39,37,37,36,37,36,36,37,36,34,34,34,35,36,35,35,36,35,33,32,32,33,33,34,34,33,32
Pais Vasco,45,44,44,44,43,41,42,41,41,40,39,39,39,39,38,38,38,39,39,37,37,37,38,37,37,37,37,37,37,37,37,36,36
La Rioja,33,33,32,33,32,31,30,31,31,31,30,30,29,29,29,29,29,28,29,29,29,29,28,29,28,30,30,31,31,30,30,27,28
Ceuta,17,23,21,20,25,22,21,23,21,20,18,20,19,19,22,23,23,21,21,20,23,22,22,23,26,26,23,22,20,20,19,17,17
Melilla,37,29,34,35,31,33,28,27,27,24,24,25,26,26,26,26,24,25,27,24,22,23,22,21,24,23,23,23,22,25,21,23,24