Municipality,Population
Albacete,"386,464"
Alicant/Alicante,"1,881,762"
Almería,"731,792"
Araba/Álava,"333,626"
Asturias,"1,011,792"
Ávila,"158,421"
Badajoz,"669,943"
"Balears,","1,173,008"
Barcelona,"5,714,730"
Bizkaia,"1,154,334"
Burgos,"356,055"
Cáceres,"389,558"
Cádiz,"1,245,960"
Cantabria,"584,507"
Castelló/Castellón,"587,064"
Ciudad,"492,591"
Córdoba,"776,789"
"Coruña,","1,120,134"
Cuenca,"195,516"
Gipuzkoa,"726,033"
Girona,"786,596"
Granada,"921,338"
Guadalajara,"265,588"
Huelva,"525,835"
Huesca,"224,264"
Jaén,"627,190"
León,"451,706"
Lleida,"439,727"
Lugo,"326,013"
Madrid,"6,751,251"
Málaga,"1,695,651"
Murcia,"1,518,486"
Navarra,"661,537"
Ourense,"305,223"
Palencia,"159,123"
"Palmas,","1,128,539"
Pontevedra,"944,275"
"Rioja,","319,796"
Salamanca,"327,338"
Santa,"1,044,405"
Segovia,"153,663"
Sevilla,"1,947,852"
Soria,"88,747"
Tarragona,"822,309"
Teruel,"134,545"
Toledo,"709,403"
València/Valencia,"2,589,312"
Valladolid,"519,361"
Zamora,"168,725"
Zaragoza,"967,452"
Ceuta,"83,517"
Melilla,"86,261"
,
,
,
,
,
,
,